Year,Round,Prize_Per_Player_GBP,Total_Prize_GBP,Increase_Pct
2010,Winner,1000000,1000000,17.6
2010,Runner-up,500000,500000,17.6
2010,Semi-Finalists,250000,500000,17.6
2010,Quarter-Finalists,125000,500000,17.6
2010,Fourth Round Losers,62500,500000,17.4
2010,Third Round Losers,31250,500000,6.8
2010,Second Round Losers,18750,600000,5.6
2010,First Round Losers,11250,720000,4.7
2009,Winner,850000,850000,
2009,Runner-up,425000,425000,
2009,Semi-Finalists,212500,425000,
2009,Quarter-Finalists,106250,425000,
2009,Fourth Round Losers,53250,426000,
2009,Third Round Losers,29250,468000,
2009,Second Round Losers,17750,568000,
2009,First Round Losers,10750,688000,
